d_model,seq_len,forward_time(s),backward_time(s),mem(MB)
16,256,0.0482,0.2435,17.22
16,1024,0.0714,0.2530,156.61
16,4096,0.8705,2.5584,2218.14
16,8192,3.3869,9.7103,8807.02
16,16384,13.4089,38.5479,35133.77
32,256,0.0477,0.1339,49.87
32,1024,0.0698,0.2219,158.16
32,4096,0.9323,2.7105,2227.69
32,8192,3.5633,10.1330,8829.06
32,16384,14.1358,40.2414,35177.81
64,256,0.0475,0.1355,75.85
64,1024,0.0742,0.2315,163.08
64,4096,0.9667,2.7750,2246.86
64,8192,3.6783,10.2963,8873.24
64,16384,14.5387,40.7188,35265.99
128,256,0.0479,0.1477,126.40
128,1024,0.0858,0.2844,173.29
128,4096,1.0730,3.0208,2285.57
128,8192,4.0560,11.0436,8961.94
128,16384,15.9810,43.4720,35442.69